"Date","Price","Open","High","Low","Vol.","Change"
"Oct 30, 2017","6,124.3","6,147.7","6,226.2","6,019.0","78.62K","-0.38"
"Oct 29, 2017","6,147.5","5,726.6","6,295.4","5,679.4","163.06K","7.35"
"Oct 28, 2017","5,726.6","5,764.6","5,871.0","5,654.8","53.23K","-0.66"
"Oct 27, 2017","5,764.6","5,887.6","5,997.8","5,692.3","83.93K","-2.09"
"Oct 26, 2017","5,887.6","5,734.0","5,970.4","5,689.9","93.68K","2.68"
"Oct 25, 2017","5,734.0","5,513.1","5,748.0","5,375.6","105.84K","4.01"
"Oct 24, 2017","5,513.1","5,903.6","5,904.6","5,463.4","143.74K","-6.62"
"Oct 23, 2017","5,903.6","5,982.9","6,049.0","5,644.2","137.14K","-1.32"
"Oct 22, 2017","5,982.9","6,006.6","6,070.6","5,723.0","105.03K","-0.40"
"Oct 21, 2017","6,006.6","5,993.1","6,187.2","5,874.5","112.94K","0.23"
"Oct 20, 2017","5,993.1","5,698.6","6,075.3","5,611.4","123.86K","5.17"
"Oct 19, 2017","5,698.6","5,576.7","5,737.4","5,517.6","83.06K","2.20"
"Oct 18, 2017","5,575.8","5,598.6","5,601.3","5,114.9","122.02K","-0.41"
"Oct 17, 2017","5,598.6","5,759.3","5,773.3","5,521.1","65.64K","-2.79"
"Oct 16, 2017","5,759.3","5,677.4","5,795.3","5,576.1","61.36K","1.25"
"Oct 15, 2017","5,688.1","5,824.7","5,862.7","5,448.2","101.64K","-2.34"
"Oct 14, 2017","5,824.7","5,637.3","5,839.6","5,568.9","76.22K","3.33"
"Oct 13, 2017","5,637.3","5,432.6","5,852.8","5,392.0","215.02K","3.77"
"Oct 12, 2017","5,432.6","4,824.2","5,432.6","4,815.0","163.92K","12.61"
"Oct 11, 2017","4,824.2","4,763.4","4,874.9","4,718.6","70.48K","1.28"
"Oct 10, 2017","4,763.4","4,777.5","4,930.0","4,722.8","98.49K","-0.30"
"Oct 09, 2017","4,777.5","4,611.7","4,875.4","4,556.1","110.19K","3.59"
"Oct 08, 2017","4,611.7","4,435.8","4,622.9","4,419.4","71.37K","3.97"
"Oct 07, 2017","4,435.8","4,371.9","4,472.9","4,319.5","40.20K","1.46"
"Oct 06, 2017","4,371.9","4,321.4","4,422.1","4,296.9","61.69K","1.17"
"Oct 05, 2017","4,321.4","4,218.7","4,365.8","4,143.4","63.61K","2.44"
"Oct 04, 2017","4,218.7","4,314.2","4,355.3","4,183.6","64.08K","-2.21"
"Oct 03, 2017","4,314.2","4,401.3","4,436.0","4,230.7","81.87K","-1.98"
"Oct 02, 2017","4,401.3","4,403.1","4,477.4","4,364.7","71.20K","-0.04"
"Oct 01, 2017","4,403.1","4,360.6","4,412.6","4,258.3","60.58K","0.97"
"Sep 30, 2017","4,360.6","4,172.8","4,383.3","4,164.3","67.49K","4.50"
"Sep 29, 2017","4,172.8","4,195.6","4,237.5","4,030.4","97.80K","-0.54"
"Sep 28, 2017","4,195.6","4,212.2","4,274.6","4,112.9","92.23K","-0.39"
