"Date","Price","Open","High","Low","Vol.","Change"
"Nov 16, 2015","330.2","317.5","332.0","314.1","87.14K","4.02"
"Nov 15, 2015","317.5","331.8","334.8","314.2","88.32K","-4.32"
"Nov 14, 2015","331.8","333.8","369.8","326.4","71.11K","-0.60"
"Nov 13, 2015","333.8","333.9","341.8","323.9","97.25K","-0.02"
"Nov 12, 2015","333.9","304.7","346.1","306.1","164.61K","9.56"
"Nov 11, 2015","304.7","336.7","341.8","292.4","263.96K","-9.50"
"Nov 10, 2015","336.7","380.2","381.4","323.2","210.29K","-11.45"
"Nov 09, 2015","380.2","371.6","385.1","360.2","125.54K","2.33"
"Nov 08, 2015","371.6","385.1","389.8","365.5","94.36K","-3.51"
"Nov 07, 2015","385.1","369.8","391.8","369.0","103.03K","4.13"
"Nov 06, 2015","369.8","382.7","396.4","348.8","255.28K","-3.37"
"Nov 05, 2015","382.7","400.9","447.2","366.1","302.95K","-4.54"
"Nov 04, 2015","400.9","396.5","492.8","368.6","517.73K","1.11"
"Nov 03, 2015","396.5","359.3","416.8","354.6","421.99K","10.36"
"Nov 02, 2015","359.3","323.0","365.8","319.8","223.10K","11.25"
"Nov 01, 2015","323.0","311.2","324.3","304.7","73.71K","3.76"
"Oct 31, 2015","311.2","327.1","333.3","304.6","105.83K","-4.85"
"Oct 30, 2015","327.1","313.6","334.9","310.8","156.49K","4.30"
"Oct 29, 2015","313.6","303.5","318.5","300.2","138.92K","3.32"
"Oct 28, 2015","303.5","294.7","307.5","294.0","116.41K","3.01"
"Oct 27, 2015","294.7","285.1","298.4","285.1","105.87K","3.34"
"Oct 26, 2015","285.1","287.9","287.6","279.6","73.21K","-0.94"
"Oct 25, 2015","287.9","282.6","295.6","281.8","113.90K","1.88"
"Oct 24, 2015","282.6","276.9","283.0","277.0","60.13K","2.04"
"Oct 23, 2015","276.9","274.4","279.8","273.2","69.32K","0.91"
"Oct 22, 2015","274.4","267.1","278.7","266.8","93.15K","2.74"
"Oct 21, 2015","267.1","269.8","272.2","263.5","59.64K","-0.98"
"Oct 20, 2015","269.8","263.8","272.1","262.7","75.40K","2.25"
"Oct 19, 2015","263.8","261.7","266.0","259.9","58.17K","0.82"
"Oct 18, 2015","261.7","269.6","272.4","259.5","52.27K","-2.93"
"Oct 17, 2015","269.6","262.9","275.4","261.7","113.84K","2.55"
"Oct 16, 2015","262.9","254.4","267.3","253.9","95.18K","3.31"
"Oct 15, 2015","254.4","252.3","256.8","251.2","60.64K","0.84"
"Oct 14, 2015","252.3","248.8","255.1","248.3","69.58K","1.43"
"Oct 13, 2015","248.8","245.4","251.2","243.1","74.88K","1.40"
"Oct 12, 2015","245.4","247.6","248.0","244.6","40.39K","-0.93"
"Oct 11, 2015","247.6","245.4","248.3","244.5","41.43K","0.94"
"Oct 10, 2015","245.4","244.0","245.9","242.9","38.96K","0.54"
"Oct 09, 2015","244.0","242.6","244.6","241.3","40.57K","0.60"
"Oct 08, 2015","242.6","243.0","244.8","241.6","44.15K","-0.16"
"Oct 07, 2015","243.0","246.1","247.3","241.6","62.60K","-1.28"
"Oct 06, 2015","246.1","240.1","247.6","239.4","78.84K","2.49"
"Oct 05, 2015","240.1","238.3","240.5","236.4","61.24K","0.76"
"Oct 04, 2015","238.3","238.6","277.6","237.5","31.85K","-0.10"
"Oct 03, 2015","238.6","236.7","239.5","236.1","43.31K","0.79"
"Oct 02, 2015","236.7","237.1","238.4","235.1","47.94K","-0.14"
"Oct 01, 2015","237.1","235.9","238.7","234.7","52.88K","0.47"
"Sep 30, 2015","235.9","236.7","237.8","234.4","50.52K","-0.33"
"Sep 29, 2015","236.7","238.9","240.4","234.8","57.30K","-0.90"
"Sep 28, 2015","238.9","232.5","240.4","232.4","64.28K","2.74"
"Sep 27, 2015","232.5","234.3","234.8","231.8","36.14K","-0.77"
"Sep 26, 2015","234.3","235.0","235.7","232.7","40.29K","-0.31"
"Sep 25, 2015","235.0","233.8","237.6","232.7","61.58K","0.54"
